rpid,name,content,like,rcount
2045918300,黯雨案语,"又双叒叕神仙打架 听完收藏
1不能说的秘密！
2亲爱的，那不是爱情！
3杀手
4日不落！
5月牙湾
6专属天使
7会呼吸的痛！
8逆光
9中国话
10离开地球表面
11改变自己
12无与伦比的美丽！
13爱情转移！
14倔强
15如果你也听说
16我不会唱歌 
17那年夏天宁静的海
18小小
19男人ktv
20钟无艳！
21私奔到月球
22你是我心内的一首歌
23发现爱
24黑糖秀
25谢谢你的温柔
26思念是一种病
27晴天娃娃
28酷爱！
29玩酷
30特务j
31梦里花
32给未来的自己
33最长的电影！
34我们说好的
35湘南海鸥
36我怀念的！
37空白格
38淘汰！！
39想太多！
40非你莫属
41我们的歌
42最美的太阳
43爱死了昨天
44爱在记忆中找你
45痒 没错就是黄龄的哈哈哈哈哈哈哈嗝
46风吹麦浪
47彩云之南
48最后一个夏天
49断桥残雪！！！！！！！！！！！
50该死的温柔！
51有没有人告诉你
52外滩十八号
53青花瓷！！！！！！！！！！！！
54白狐~！！！！！
55天使的翅膀
56等一分钟！！！！
57老人与海！
58穷开心~hhhhhhh
59自由飞翔~~",29,4
2071205350,Jean_Patry,现在的小孩儿都没听过白狐？,81,7
2045883436,-罗夏的小新娘,以后去KTV不知道唱什么就来翻大佬的视频[滑稽][滑稽][滑稽],24,1
2046738353,BB赖赖的BB,天使的翅膀，那年我高中，在她的后桌默默地唱了两年[画风突变]好他妈心疼我自己,75,4
2130125042,沃德天拉磨帅,我本来要睡觉了的，我为什么要点开这个系列的视频[大哭],23,0
2088543272,咯咯哒_chicken_kun,小学五年级，天天中午看音乐风云榜[doge][doge][doge],23,1
2057630557,杯酒足以慰清风,打问号的真是些臭弟弟[小电视_差评],65,2
2082775219,空白拍,有谁记得同年有一首歌叫青花，被青花瓷埋没的泡都没一个，但是挺好听的，周传雄唱的,65,11
2047004095,早起姑娘,有网易云歌单吗 可以按年份出一个,20,1
2045868414,最爱厚酸奶,呀，刚听完06的,55,1
